NAME,DESCRIPTION,PRICE,OLD PRICE,CATEGORY NAME,SUBCATEGORY NAME,BRAND,IMAGE
"Adobe Photoshop","Industry-standard image editing software","20.99","29.99","Software","Graphic Design","Adobe","https://www.adobe.com/content/dam/cc/icons/photoshop.svg"
"Adobe Illustrator","Vector graphics and illustration software","19.99","24.99","Software","Graphic Design","Adobe","https://www.adobe.com/content/dam/cc/icons/illustrator.svg"
"CorelDRAW","Professional vector illustration and graphic design","34.99","49.99","Software","Graphic Design","Corel","https://www.coreldraw.com/static/cdgs/images/coreldraw-product-icon.png"
"Affinity Photo","Powerful photo editing software","49.99","59.99","Software","Graphic Design","Serif","https://affinity.serif.com/favicons/apple-touch-icon.png"
"Sketch","Digital design toolkit for UI/UX design","99.00","129.00","Software","UI/UX Design","Bohemian Coding","https://www.sketch.com/images/app-icons/big-sur/app-icon-sketch.svg"
"Figma","Collaborative interface design tool","12.00","15.00","Software","UI/UX Design","Figma","https://figma.com/favicon.ico"
"Canva Pro","Online design and publishing tool","12.95","14.95","Software","Graphic Design","Canva","https://static.canva.com/static/images/canva-logo.svg"
"Procreate","Drawing and painting app for iPad","9.99","","Software","Graphic Design","Savage Interactive","https://procreate.art/favicon.ico"
"Adobe InDesign","Layout and page design software","20.99","24.99","Software","Publishing","Adobe","https://www.adobe.com/content/dam/cc/icons/indesign.svg"
"QuarkXPress","Page layout and graphic design software","34.99","49.99","Software","Publishing","Quark","https://www.quark.com/images/favicon.png"
"Final Cut Pro","Professional video editing software","299.99","","Software","Video Editing","Apple","https://www.apple.com/v/final-cut-pro/g/images/overview/icons/fcp_ico__e8akbmuf51oi_large.png"
"Adobe Premiere Pro","Industry-leading video editing software","20.99","29.99","Software","Video Editing","Adobe","https://www.adobe.com/content/dam/cc/icons/premiere.svg"
"DaVinci Resolve","Professional video editing and color grading","0.00","","Software","Video Editing","Blackmagic Design","https://www.blackmagicdesign.com/products/davinciresolve/images/icon-davinci-resolve@2x.png"
"After Effects","Visual effects and motion graphics software","20.99","29.99","Software","Video Editing","Adobe","https://www.adobe.com/content/dam/cc/icons/aftereffects.svg"
"Blender","Open-source 3D creation suite","0.00","","Software","3D Design","Blender Foundation","https://www.blender.org/wp-content/themes/blender/favicon.ico"
"Cinema 4D","Professional 3D modeling, animation, and rendering","59.99","69.99","Software","3D Design","Maxon","https://www.maxon.net/favicon.ico"
"ZBrush","Digital sculpting tool","39.95","49.95","Software","3D Design","Pixologic","https://pixologic.com/zbrush/favicons/favicon-32x32.png"
"AutoCAD","CAD software for 2D and 3D design","169.99","199.99","Software","CAD","Autodesk","https://www.autodesk.com/favicon.ico"
"SketchUp","3D modeling computer program","119.00","149.00","Software","CAD","Trimble","https://www.sketchup.com/themes/sketchup_2019/favicon.ico"
